filename,participant,control/sophie,pre/post,word_count,content,empower,explicit,empathy
p5_pre_w_speaker.txt,p5,control,pre,1073.0,[Redacted],0.3928571428571428,0.2142857142857142,0.5357142857142857
p54_post_w_speaker.txt,p54,control,post,806.0,[Redacted],0.6,0.3,0.55
p54_pre_w_speaker.txt,p54,control,pre,709.0,[Redacted],0.125,0.375,0.625
p56_pre_w_speaker.txt,p56,control,pre,1219.0,[Redacted],0.7647058823529411,0.4705882352941176,0.8823529411764706
p58_post_w_speaker.txt,p58,control,post,585.0,[Redacted],0.4375,0.4375,0.75
p58_pre_w_speaker.txt,p58,control,pre,484.0,[Redacted],0.5333333333333333,0.6666666666666666,0.4
p6_post_w_speaker.txt,p6,control,post,1272.0,[Redacted],0.6363636363636364,0.4545454545454545,0.8636363636363636
p6_pre_w_speaker.txt,p6,control,pre,1322.0,[Redacted],0.4,0.35,0.6
p61_pre_w_speaker.txt,p61,control,pre,1238.0,[Redacted],0.3214285714285714,0.3214285714285714,0.5
p62_post_w_speaker.txt,p62,control,post,978.0,[Redacted],0.6,0.2,0.6666666666666666
p64_post_w_speaker.txt,p64,control,post,839.0,[Redacted],0.6111111111111112,0.2777777777777778,0.5
p64_pre_w_speaker.txt,p64,control,pre,1114.0,[Redacted],0.4,0.4,0.6
p8_post_w_speaker.txt,p8,control,post,1075.0,[Redacted],0.6521739130434783,0.3043478260869565,0.7391304347826086
p8_pre_w_speaker.txt,p8,control,pre,1127.0,[Redacted],0.7333333333333333,0.4,0.8666666666666667
p1_pre_w_speaker.txt,p1,sophie,pre,1201.0,[Redacted],0.4736842105263157,0.4210526315789473,0.6842105263157895
p10_post_w_speaker.txt,p10,sophie,post,1350.0,[Redacted],0.631578947368421,0.4736842105263157,0.631578947368421
p17_pre_w_speaker.txt,p17,sophie,pre,976.0,[Redacted],0.7222222222222222,0.2777777777777778,0.7777777777777778
p2_post_w_speaker.txt,p2,sophie,post,1263.0,[Redacted],0.4285714285714285,0.4761904761904761,0.5714285714285714
p20_post_w_speaker.txt,p20,sophie,post,1340.0,[Redacted],0.2916666666666667,0.2916666666666667,0.7916666666666666
p20_pre_w_speaker.txt,p20,sophie,pre,1002.0,[Redacted],0.3157894736842105,0.4210526315789473,0.5263157894736842
p21_post_w_speaker.txt,p21,sophie,post,1325.0,[Redacted],0.5,0.2727272727272727,0.2727272727272727
p22_post_w_speaker.txt,p22,sophie,post,427.0,[Redacted],0.8,0.0,0.8
p25_post_w_speaker.txt,p25,sophie,post,1347.0,[Redacted],0.4347826086956521,0.3043478260869565,0.5217391304347826
p28_post_w_speaker.txt,p28,sophie,post,724.0,[Redacted],0.7142857142857143,0.4285714285714285,0.5714285714285714
p28_pre_w_speaker.txt,p28,sophie,pre,602.0,[Redacted],0.3846153846153846,0.4615384615384615,0.9230769230769232
p31_post_w_speaker.txt,p31,sophie,post,640.0,[Redacted],0.4285714285714285,0.3333333333333333,0.7142857142857143
p31_pre_w_speaker.txt,p31,sophie,pre,659.0,[Redacted],0.5,0.2142857142857142,0.6428571428571429
p35_post_w_speaker.txt,p35,sophie,post,900.0,[Redacted],0.5789473684210527,0.2631578947368421,0.7894736842105263
p35_pre_w_speaker.txt,p35,sophie,pre,617.0,[Redacted],0.75,0.4166666666666667,0.75
p37_post_w_speaker.txt,p37,sophie,post,1168.0,[Redacted],0.5909090909090909,0.2272727272727272,0.5454545454545454
p37_pre_w_speaker.txt,p37,sophie,pre,1302.0,[Redacted],0.6923076923076923,0.4615384615384615,0.9230769230769232
p41_post_w_speaker.txt,p41,sophie,post,910.0,[Redacted],0.5555555555555556,0.2222222222222222,0.7777777777777778
p41_pre_w_speaker.txt,p41,sophie,pre,1046.0,[Redacted],0.4285714285714285,0.5,0.5714285714285714
p42_post_w_speaker.txt,p42,sophie,post,950.0,[Redacted],0.55,0.4,0.65
p42_pre_w_speaker.txt,p42,sophie,pre,880.0,[Redacted],0.7333333333333333,0.3333333333333333,0.7333333333333333
p46_post_w_speaker.txt,p46,sophie,post,1043.0,[Redacted],0.5357142857142857,0.1785714285714285,0.8214285714285714
p48_post_w_speaker.txt,p48,sophie,post,929.0,[Redacted],0.6428571428571429,0.6428571428571429,0.7142857142857143
p48_pre_w_speaker.txt,p48,sophie,pre,854.0,[Redacted],0.5,0.3333333333333333,0.6111111111111112
p52_post_w_speaker.txt,p52,sophie,post,878.0,[Redacted],0.7142857142857143,0.4285714285714285,0.8571428571428571
p52_pre_w_speaker.txt,p52,sophie,pre,607.0,[Redacted],0.5,0.6666666666666666,0.4166666666666667
p55_post_w_speaker.txt,p55,sophie,post,710.0,[Redacted],0.4210526315789473,0.1052631578947368,0.5263157894736842
p55_pre_w_speaker.txt,p55,sophie,pre,1070.0,[Redacted],0.1666666666666666,0.4583333333333333,0.4583333333333333
p59_post_w_speaker.txt,p59,sophie,post,616.0,[Redacted],0.3,0.3,0.8
p59_pre_w_speaker.txt,p59,sophie,pre,740.0,[Redacted],0.3333333333333333,0.5833333333333334,0.3333333333333333
p60_post_w_speaker.txt,p60,sophie,post,1293.0,[Redacted],0.4444444444444444,0.6111111111111112,0.3333333333333333
p60_pre_w_speaker.txt,p60,sophie,pre,643.0,[Redacted],0.25,0.875,0.375
p7_post_w_speaker.txt,p7,sophie,post,1559.0,[Redacted],0.3333333333333333,0.4285714285714285,0.7142857142857143
p0_post_w_speaker.txt,p0,control,post,1207.0,[Redacted],0.375,0.2916666666666667,0.8333333333333334
p0_pre_w_speaker.txt,p0,control,pre,1533.0,[Redacted],0.5357142857142857,0.3928571428571428,0.4285714285714285
p12_post_w_speaker.txt,p12,control,post,1400.0,[Redacted],0.5,0.2727272727272727,0.3636363636363636
p12_pre_w_speaker.txt,p12,control,pre,1510.0,[Redacted],0.9090909090909092,0.5454545454545454,0.7272727272727273
p19_pre_w_speaker.txt,p19,control,pre,1363.0,[Redacted],0.1714285714285714,0.2857142857142857,0.1428571428571428
p34_post_w_speaker.txt,p34,control,post,1197.0,[Redacted],0.6538461538461539,0.2307692307692307,0.5769230769230769
p4_post_w_speaker.txt,p4,control,post,1528.0,[Redacted],0.3461538461538461,0.6153846153846154,0.2307692307692307
p4_pre_w_speaker.txt,p4,control,pre,1522.0,[Redacted],0.5454545454545454,0.5454545454545454,0.6363636363636364
p56_post_w_speaker.txt,p56,control,post,1465.0,[Redacted],0.7857142857142857,0.6428571428571429,0.9285714285714286
p61_post_w_speaker.txt,p61,control,post,1454.0,[Redacted],0.4848484848484848,0.4545454545454545,0.5151515151515151
p62_pre_w_speaker.txt,p62,control,pre,1414.0,[Redacted],0.8,0.3,0.4
p1_post_w_speaker.txt,p1,sophie,post,1562.0,[Redacted],0.7222222222222222,0.2777777777777778,0.7222222222222222
p10_pre_w_speaker.txt,p10,sophie,pre,1423.0,[Redacted],0.3684210526315789,0.5263157894736842,0.3684210526315789
p11_post_w_speaker.txt,p11,sophie,post,1336.0,[Redacted],0.3103448275862069,0.2413793103448276,0.5172413793103449
p11_pre_w_speaker.txt,p11,sophie,pre,1508.0,[Redacted],0.3461538461538461,0.3846153846153846,0.4615384615384615
p13_post_w_speaker.txt,p13,sophie,post,1386.0,[Redacted],0.4285714285714285,0.3214285714285714,0.3571428571428571
p13_pre_w_speaker.txt,p13,sophie,pre,1421.0,[Redacted],0.25,0.425,0.15
p16_post_w_speaker.txt,p16,sophie,post,1437.0,[Redacted],0.6956521739130435,0.4782608695652174,0.782608695652174
p16_pre_w_speaker.txt,p16,sophie,pre,1529.0,[Redacted],1.0,0.6666666666666666,0.7777777777777778
p17_post_w_speaker.txt,p17,sophie,post,1378.0,[Redacted],0.5555555555555556,0.1851851851851851,0.8148148148148148
p2_pre_w_speaker.txt,p2,sophie,pre,1523.0,[Redacted],0.4285714285714285,0.3571428571428571,0.4642857142857143
p21_pre_w_speaker.txt,p21,sophie,pre,1274.0,[Redacted],0.4285714285714285,0.5238095238095238,0.3809523809523809
p22_pre_w_speaker.txt,p22,sophie,pre,1559.0,[Redacted],0.4838709677419355,0.3225806451612903,0.6451612903225806
p25_pre_w_speaker.txt,p25,sophie,pre,1492.0,[Redacted],0.3928571428571428,0.3214285714285714,0.5357142857142857
p39_post_w_speaker.txt,p39,sophie,post,1278.0,[Redacted],0.2121212121212121,0.303030303030303,0.6060606060606061
p39_pre_w_speaker.txt,p39,sophie,pre,1185.0,[Redacted],0.4324324324324324,0.2432432432432432,0.5675675675675675
p46_pre_w_speaker.txt,p46,sophie,pre,1206.0,[Redacted],0.4871794871794871,0.3333333333333333,0.4358974358974359
p53_post_w_speaker.txt,p53,sophie,post,1551.0,[Redacted],0.6666666666666666,0.2857142857142857,0.6666666666666666
p53_pre_w_speaker.txt,p53,sophie,pre,1416.0,[Redacted],0.2413793103448276,0.4137931034482758,0.4827586206896552
p57_post_w_speaker.txt,p57,sophie,post,1532.0,[Redacted],0.35,0.2,0.75
p57_pre_w_speaker.txt,p57,sophie,pre,1504.0,[Redacted],0.5,0.7,0.35
p7_pre_w_speaker.txt,p7,sophie,pre,1495.0,[Redacted],0.5263157894736842,0.5263157894736842,0.3684210526315789
p9_post_w_speaker.txt,p9,sophie,post,957.0,[Redacted],0.3,0.15,0.4
p9_pre_w_speaker.txt,p9,sophie,pre,,[Redacted],,,
